State,Drinking Water,School with electricity,Boy Toilet,Girl Toilet
Andaman & Nicobar Islands,100,82.11,100,96.95
Andhra Pradesh,93.89,91.65,99.58,100
Arunachal Pradesh,73.85,22.64,93.55,99.6
Assam,84.64,12.76,85.83,94.41
Bihar,90.31,22.28,83.78,86.39
Chandigarh,100,100,100,84.35
Chhattisgarh,99.03,66.51,98.49,100
Dadra & Nagar Haveli,100,100,100,99.16
Daman & Diu,100,100,100,100
Delhi,100,100,100,100
Goa,100,99.79,100,100
Gujarat,99.97,99.23,99.86,100
Haryana,99.85,98.7,99.15,99.95
Himachal Pradesh,99.89,96.13,99.68,99.37
Jammu And Kashmir,89.68,16.01,87.9,99.85
Jharkhand,91.75,9.3,96.07,91.66
Karnataka,99.96,96.81,98.92,96.16
Kerala,99.45,95.57,96.88,99.54
Lakshadweep,100,100,100,98.54
Madhya Pradesh,95.76,11.31,95.72,100
Maharashtra,99.58,90.62,98.8,96.2
Manipur,99.83,14.64,98.37,99.06
Meghalaya,62.16,15.61,86.48,98.27
Mizoram,91.61,65.66,97.5,84.12
Nagaland,75.81,22.85,98.66,99.04
Odisha,99.28,15.49,93.66,99.84
Puducherry,100,100,100,97.44
Punjab,99.99,99.94,99.62,100
Rajasthan,94.35,19.84,98.97,99.82
Sikkim,97.59,73.8,99.86,99.4
Tamil Nadu,99.97,98.59,99.6,99.84
Telangana,90.19,87.27,100,99.84
Tripura,85.51,14.72,99.57,100
Uttar Pradesh,98.93,50.11,99.74,99.73
Uttarakhand,96.25,73.55,97.18,99.8
West Bengal,98.43,73.64,97.53,96.71
